Date,Price,Open,High,Low,Vol.,Change %
15-Dec-21,"35,926.77","35,546.68","35,942.88","35,391.16",407.07M,1.07%
14-Dec-21,"35,545.69","35,605.73","35,779.20","35,441.74",414.32M,-0.30%
13-Dec-21,"35,652.07","35,906.91","35,951.28","35,610.42",419.86M,-0.89%
10-Dec-21,"35,971.98","35,830.55","35,982.69","35,711.90",344.05M,0.61%
09-Dec-21,"35,755.28","35,722.26","35,864.22","35,579.91",335.37M,0.00%
08-Dec-21,"35,754.09","35,716.85","35,839.72","35,603.95",363.11M,0.09%
07-Dec-21,"35,720.55","35,546.06","35,818.39","35,544.63",453.38M,1.40%
06-Dec-21,"35,227.89","34,843.15","35,356.35","34,837.91",398.16M,1.87%
03-Dec-21,"34,579.55","34,718.95","34,801.31","34,265.17",419.61M,-0.18%
02-Dec-21,"34,641.70","34,076.25","34,759.65","34,076.25",443.93M,1.82%
01-Dec-21,"34,021.61","34,773.76","35,004.42","34,014.41",481.43M,-1.34%
30-Nov-21,"34,484.18","35,056.99","35,056.99","34,426.68",592.20M,-1.85%
29-Nov-21,"35,135.78","35,236.04","35,282.11","34,896.95",392.37M,0.65%
26-Nov-21,"34,908.10","35,127.45","35,153.58","34,750.02",293.49M,-2.51%
24-Nov-21,"35,805.17","35,752.31","35,825.11","35,592.54",263.33M,-0.02%
23-Nov-21,"35,813.74","35,619.92","35,841.52","35,542.99",364.51M,0.55%
22-Nov-21,"35,619.26","35,631.41","35,929.02","35,617.83",399.04M,0.05%
19-Nov-21,"35,602.18","35,809.90","35,809.90","35,556.85",389.34M,-0.75%
18-Nov-21,"35,871.34","35,901.69","35,944.90","35,654.39",420.67M,-0.17%
17-Nov-21,"35,931.52","36,159.70","36,159.70","35,909.50",338.88M,-0.59%
16-Nov-21,"36,144.13","36,076.18","36,316.52","36,076.18",287.97M,0.16%
15-Nov-21,"36,087.98","36,155.81","36,234.66","36,035.07",264.18M,-0.03%
12-Nov-21,"36,100.37","35,963.78","36,147.50","35,934.82",273.83M,0.50%
11-Nov-21,"35,921.24","36,093.78","36,102.53","35,916.40",260.79M,-0.44%
10-Nov-21,"36,079.54","36,214.42","36,346.61","36,009.75",267.10M,-0.66%
09-Nov-21,"36,320.50","36,404.53","36,416.21","36,173.79",242.21M,-0.30%
08-Nov-21,"36,431.39","36,472.63","36,565.73","36,334.57",269.41M,0.28%
05-Nov-21,"36,329.07","36,268.75","36,483.13","36,190.20",332.69M,0.57%
04-Nov-21,"36,124.66","36,107.46","36,166.79","35,986.65",297.06M,-0.09%
03-Nov-21,"36,157.02","35,989.01","36,178.05","35,891.73",246.54M,0.29%
02-Nov-21,"36,053.09","35,947.35","36,088.32","35,886.16",290.99M,0.39%
01-Nov-21,"35,913.68","35,920.10","36,008.22","35,799.49",282.29M,0.26%
29-Oct-21,"35,819.59","35,643.35","35,852.28","35,634.39",373.25M,0.25%
28-Oct-21,"35,729.89","35,545.41","35,741.17","35,545.41",327.61M,0.67%
27-Oct-21,"35,491.48","35,835.43","35,835.43","35,490.83",338.08M,-0.74%
26-Oct-21,"35,755.83","35,850.04","35,892.89","35,735.60",300.89M,0.03%
25-Oct-21,"35,743.78","35,692.62","35,787.04","35,629.85",253.33M,0.19%
22-Oct-21,"35,677.68","35,607.72","35,764.71","35,535.18",332.86M,0.21%
21-Oct-21,"35,601.96","35,526.08","35,610.16","35,442.55",286.02M,-0.02%
20-Oct-21,"35,609.93","35,466.00","35,669.20","35,466.00",255.54M,0.43%
19-Oct-21,"35,458.37","35,390.24","35,458.91","35,295.25",264.80M,0.57%
18-Oct-21,"35,259.01","35,150.55","35,326.72","35,036.87",293.23M,-0.10%
15-Oct-21,"35,295.48","35,023.63","35,319.87","35,023.63",311.66M,1.10%
14-Oct-21,"34,911.70","34,443.22","34,923.63","34,443.22",312.38M,1.55%
13-Oct-21,"34,378.60","34,372.71","34,449.00","34,116.52",300.31M,0.00%
12-Oct-21,"34,378.08","34,507.15","34,611.24","34,320.10",304.92M,-0.34%
11-Oct-21,"34,496.85","34,760.93","34,951.04","34,486.51",241.47M,-0.72%
08-Oct-21,"34,746.71","34,757.57","34,842.03","34,663.82",223.79M,-0.02%
